ADDRESS,TRANSACTION,TYPE,LATITUDE,LONGITUDE
8601 Washington Boulevard,Sold,Dev. Site,34.0305292,-118.3815455
8700 Washington Boulevard,Sold,Investment,34.0293847,-118.384046
9827-99 Washington Boulevard,Sold,Owner/User,34.0221371,-118.3973295
10375 Washington Boulevard,Sold,Owner/User,34.0189324,-118.4023671
10700 Washington Boulevard,Sold,Investment,34.0165832,-118.4055181
10764 Washington Boulevard,Sold,Owner/User,34.0154499,-118.4066477
11024-26 Washington Boulevard,Sold,Owner/User,34.0105887,-118.4107729
11039-41 Washington Boulevard,Sold,Owner/User,34.010744,-118.41164
11113 Washington Boulevard (2),Sold,Owner/User,34.009361,-118.4119778
11122 Washington Boulevard,Sold,Owner/User,34.0090112,-118.4117007
11262 Washington Boulevard,Sold,Owner/User,34.005055,-118.4139474
11461 Washington Boulevard,Sold,Owner/User,34.0018416,-118.4163689
11520-22 Washington Boulevard,Sold,Owner/User,34.0007481,-118.416186
12012 Washington Boulevard,Sold,Investment,33.9975673,-118.4226064
12125-75 Washington Boulevard,Sold,Investment,33.997562,-118.425255
12202-12 Washington Boulevard,Sold,Owner/User,33.9971065,-118.4257216
12466 Washington Boulevard,Sold,Owner/User,33.9966298,-118.4295769
12467 Washington Boulevard,Sold,Owner/User,33.9970373,-118.430343
12468 Washington Boulevard,Sold,Owner/User,33.9968299,-118.4297045
12524 Washington Boulevard,Sold,Owner/User,33.9965264,-118.4308357
12572-78 Washington Boulevard,Sold,Dev. Site,33.996476,-118.4318639
12728 Washington Boulevard,Sold,Owner/User,33.9965215,-118.4355624
12732-B Washington Boulevard,Sold,Owner/User,33.9962838,-118.4356219
12732-D Washington Boulevard,Sold,Owner/User,33.9962838,-118.4356219
12835 Washington Boulevard,Sold,Owner/User,33.995509,-118.4377036
12952-58 Washington Boulevard,Sold,Owner/User,33.9946223,-118.4390178
12955 Washington Boulevard,Sold,Owner/User,33.9949072,-118.4394577
13015 Washington Boulevard,Sold,Owner/User,33.9944469,-118.4403672
13115-19 Washington (Rep. Buyer),Sold,Owner/User,33.9940669,-118.4410913
13347 Washington Boulevard,Sold,Investment,33.9927821,-118.4437876
11151-55 Washington Place,Sold,Investment,34.0097762,-118.4130214
11272 Washington Place,Sold,Owner/User,34.0073798,-118.4158995
11276-84 Washington Place,Sold,Owner/User,34.0073222,-118.4160022
11315 Washington Place (2),Sold,Owner/User,34.0072703,-118.4170063
4006-10 Sawtelle Boulevard,Sold,Owner/User,34.0071723,-118.416112
4009-13 Sawtelle Boulevard,Sold,Owner/User,34.0068866,-118.4164236
1461-65 W. El Segundo Blvd.,Sold,Owner/User,33.9167248,-118.3021318
